country,iso code,observations,money growth,inflation,gdp growth,income group,oecd
United Kingdom,GBR,63.0,0.10120445632798103,0.05226208914140562,0.022805796997261263,high,yes
United States,USA,62.0,0.0752393078496909,0.03295410958655309,0.029633966327883954,high,yes
Uruguay,URY,63.0,0.37560024595478536,0.33280964448020933,0.021390947027044582,high,no
Uzbekistan,UZB,10.0,0.22975027055128727,0.1500838614987008,0.056936533468175954,middle,no
Vanuatu,VUT,44.0,0.06991989405600907,0.04036977939851938,0.02179787465940919,middle,no
Vietnam,VNM,28.0,0.2340987723310921,0.07873625363338332,0.06423281117468593,middle,no
West Bank and Gaza,PSE,21.0,0.08458907885747657,0.03101565504665782,0.03954895273716774,middle,no
"Yemen, Rep.",YEM,24.0,0.17800114042463777,0.14770288498728634,0.040082084673300766,low,no
Zambia,ZMB,30.0,0.24974982898489184,0.17011801813209781,0.044910777245306344,middle,no
Zimbabwe,ZWE,27.0,0.053944277290166154,-0.009568406662110895,0.013777445798113241,middle,no
