country_code,country,gdp,labor,human_capital,physical_capital
SRB,Serbia,121193.109375,2.9051904678344727,3.4737987518310547,0.005730897653847933
SVK,Slovakia,151482.375,2.4688608646392822,3.8490355014801025,0.008133845403790474
SVN,Slovenia,71353.5625,1.0468058586120605,3.5749080181121826,0.005160429049283266
SWE,Sweden,527787.8125,5.002136707305908,3.435986280441284,0.03365505486726761
SWZ,Eswatini,9042.5439453125,0.31253039836883545,2.1570098400115967,0.0003511593386065215
TGO,Togo,18116.091796875,3.171970844268799,1.798118233680725,0.0007719359127804637
THA,Thailand,1192240.125,37.540958404541016,2.8044486045837402,0.0565730556845665
TJK,Tajikistan,36495.9921875,2.6825780868530273,3.03216814994812,0.0029564951546490192
TTO,Trinidad and Tobago,39584.796875,0.6137170195579529,3.0853209495544434,0.0009523243643343449
TUN,Tunisia,130405.375,3.687084436416626,2.6992413997650146,0.0034312878269702196
TUR,Turkey,2246181.75,28.08733367919922,2.514292001724243,0.1040744036436081
TWN,Taiwan,1100432.625,11.5,3.3576505184173584,0.050125718116760254
TZA,U.R. of Tanzania: Mainland,132853.90625,23.670143127441406,1.7155940532684326,0.0045900181867182255
UKR,Ukraine,580797.3125,16.49907684326172,3.289668560028076,0.049810633063316345
URY,Uruguay,71310.9765625,1.6353788375854492,2.7764058113098145,0.003348591737449169
USA,United States,20566034.0,158.29959106445312,3.7493414878845215,1.0
VEN,Venezuela (Bolivarian Republic of),7162.51171875,11.6943998336792,2.8934617042541504,0.0007440535700879991
ZAF,South Africa,735067.0625,18.642709732055664,2.9082024097442627,0.0332280732691288
ZMB,Zambia,56811.10546875,5.225447654724121,2.686845064163208,0.004522609990090132
ZWE,Zimbabwe,41081.72265625,6.831016540527344,2.713407516479492,0.0007328378851525486
